,Unnamed: 0,document,summary
40,40,afternoon my is i just need a clarity on acl repair i done acl repair as the doctors told me after my discharge i attend physiotherapy but after the physio my leg get swallow so i stopped as there was no progress now my knee is stiff and swallow also it change colour and doctors tells me they don i see anything so i need an advise what can i do or where can i go and get help regards,what is the recovery process after acl surgery 
41,41,thoracic outlet syndrome i was diagnose with tos in my left shoulder was told surgery would help my problem physical therapy i not help tired of the numbness in pain in hand just wondering if the stats our good percent wise for surgery results do is my surgeon,what are the success rate and prognosis for thoracic outlet syndrome surgery 
42,42,hi this is suppose we removed the eye duct due to tear tube dam is it any problem will come,what are the prognosis and complications of tear duct surgery 
43,43,polymicrogyria my month old son has this does not sit up our crawl yet but still trying and is improving in grabbing things etc etc have read about other cases that seem time worse it i it possible for this post of his brain to grown to normal and he grow out of it,what is the prognosis for polymicrogyria 
44,44,sometime during march i overdosed on benadryl i got all the symptoms but survived without medical treatment i am just curious as to if any dam happened like neurological,what is the prognosis for benadryl toxicity 
45,45,small intestine completely removed one of my family members has a serious health issue in which his small bowel has been removed completely due to gagarin could you please help and advise accordingly,what are the prognosis and care instructions after small bowel resection 
46,46,sodium intake my mother is years old and generally in good health i keep her on a low sodium diet and wonder if i i not allowing enough sodium in her diet what is the lowest amount she should have per day thank you,what is the minimum required sodium intake per day in elderly 
47,47,per otitis left untreated effects hi if periodontist is left untreated for approx months will it have any affect on the condition as i need to travel a dentist has told me i have mod advanced periodontist with gum pockets of my and bone loss with restorations and caries i have all my teeth at this it some are loose if i leave it for this amount of time is it likely to worsen at all and what could i expect on the other hand if i seek treatment immediately will help in any way hope to hear from you thanks kindly,what is the prognosis for untreated periodontitis 
48,48,i was at my endocrinologist today and he sa i should look into testing or new research for someone like myself i am type diabetic and my doctor sa my case is unique he suggested i you to see if you may have research that could help me,what is the latest research on type one diabetes testing and treatments 
49,49,vasectomy on the text that says it is very rare that the vas deferens can grow back and my partner pregnant so is it possible is that my partner got pregnant i have vasectomy years thanks,what is the late failure rate of vasectomy 
50,50,customer service request my daughter has turner syndrome but she i beaten all odds she developed on our own got her period on her own she is now pregnant on her own with identical twins my question is can she have normal children or do they have more of a chance of having turner syndrome my daughter has been tested many times to confirm her diagnosis of turner syndrome and she is a full xo not mosaic but still does not display many of the characteristics again i am just questioning the safety of the pregnancy and the health of the babies thank you for your help,what is the inheritance pattern of turner syndrome 
51,51,question do you know what genetic abnormality causes liam e dehydrogenase deficiency e,what is the genetic cause of lipoamide dehydrogenase deficiency 
52,52,multiple orgasm if i get a vasectomy will i still be able to have multiple orgasms i know it i not even usual to have them as a guy which is why i i wondering if i would still have them if my vasectomy happened,what is the effect of vasectomy on orgasms 
53,53,res ual cancer how long do radiation treatments actively treat the area where it was delivered would cancer found approximately months after radiation which followed chemo which followed surgery and it is on aromatase inhibitor since chemo be cons ered res ual or reoccurrence by most oncologists,what is the difference between residual and recurrent maligancy 
54,54,clinicaltrials gov question general information my is from my year old boy has duchannes muscular dystrophy patient my question is what is econ skipping it can help for did patient,what is exon skipping and is it an effective treatment for duchenne muscular dystrophy 
55,55,big and it urinary bladder cancer my dad begins this big treatment in a few weeks for it cancer tumors in the urinary bladder how effective is big for this issue thank you very much is big similiar to chemotherapy,what is bcg treatment and is it an effective treatment for bladder cancer 
56,56,i ad i have been searching for detailed information of what someone with i ad can and cannot eat or have in but am getting conflicting information any help,what foods should be avoided with g pd deficiency 
57,57,meaning of label directions asked if med label says take with food how much food is required and found no answer not supposed to eat at nite when med is to be taken no answer,what does take with food mean on medication labels 
58,58,insulin dependent diabetes in children hi what are the causes of insulin dependent diabetes in children i am searching for information on the causes of insulin dependent diabetes in children please help,what causes type diabetes in children 
59,59,tailbone trauma aftercare i read the article but what if the person hasn i falling or been bumped what could cause this,what causes tailbone injury 
60,60,i linked congenital stationary night blindness i i suffering from similar or same decease my mothers father suffered from same my brother also we have problem in low light infact cant view in damp conditions during day also have myopia but still not normal myopia cant see little object with clarity life is looking like imprisonment is there any chance for our recovery from this i linked decease will we be able to see like normal ones ply help my y brother address,what are the treatments for x linked congenital stationary night blindness 
61,61,we appreciate your response my son is years old we cannot find any drugs treatments as well as hospitals to fight against wilson i disease in currently there is phi person with wilson i disease in who is my son we cannot find anything good to help my son at the moment therefore we need somewhere where my son can get help we are also lack of financial condition to support full treatment for my son however we wish to have good medication with less expense if possible we want to get diagnosed my son i other infected organs and want to know how we can help to get them recovered well regards,what are the treatments for wilson s disease and how can i find physician s or hospital s who specialize in it 
62,62,spinal cord my brother is years old have spinal cord problem his both legs he cannot move them wheelchair user his legs are very heavy as he had urinate infection after the other now the test comes positive and the infection still going cannot clear so his doctor cannot give him any treatment for his main problem spinal cord i want to help him what he should do i want to get advice please banging you for help and advice many thank you,what are the treatments for urinary tract infection 
63,63,plus gu e us dear sir madam plus gu e us recently we found one of woman staying with us she coughing and blood coming from mouth so she went to doctor on they i blood test and sputum test it scan also they i it find anything recently she went to indonesia they found repot was progressive disease active lung inthe right i and i segment the oxidative lesions is increasing with small cavity so what we have to do for her is this cont i who is the pople staying with her need to do test plus gu e me thank u my,what are the treatments for tuberculosis and is it contagious 
64,64,sudden pain in heart i need to know for what its happening because i am very scared what may happen,what causes sudden chest pain and what are the treatments 
65,65,tongue problem i can speak every thing i have mistake some word like i i i can i i speak this is my problem every person tell me please give me suggestion,what are the treatments for speech disorders 
66,66,clinicaltrials gov general complaint i have chronic pain from severe shingles the blisters are gone but the pain is severe what should i do i can keep this pain,what are the treatments for shingles pain 
67,67,i had a molar removed painful and not healing swab test in tooth extraction hole revealed i have erratic marcescens oral surgeon ordered levaquin scared went to a new oral surgeon he sa since i have been on antibiotics for more than four months do not take new antibiotic i am scared dont really have any serious symptoms bad taste in mouth funny colored tongue follow up with new do this monday please help,what are the treatments for serratia marcescens infection 
68,68,seborrheic keratosis i am an african american women who have been diagnose with seborrheic keratosis on my face do you have a web site that i can obtain the products so that i can clear up my face please advise thank you,what are the treatments for seborrheic keratosis and where can i buy them 
69,69,sounding in my ear every time for along time my ear has been sounding for along time it started years ago at first time it started during swimming i go to doctors in and but it i not become correct i wish you to give me good advice please,what are the treatments for ringing in the ear 
70,70,still very sore under my i die rib i and little swollen any suggestions for this discomfort sore and swollen from auto acc ent was wearing seat belt,what are the treatments for rib pain and swelling after car accident 
71,71,retinitis pigments up stem cells gene therapy hi i had been diagnosed with retinitis pigments up at the of i am now years of i live in and i am willing to travel in the last years my eyes has deteriorated quite dramatically my central vision is good colour and clarity is also good my visual acuity is approx my visual field is approx degrees my peripheral vision has began to deteriorate and my night vision is poor i am in i die it i of up however i am still capable of getting through my day to day activities i have been searching on the internet and came across your website i am interested in any treatments or clinical trials in stem cells gene therapy or any other treatments you may recommend i look forward to your response and any information you may be able to give kind regards,what are the treatments for retinitis pigmentosa 
72,72,pulmonary tuberculosis respected sir madam i takeing treatment of pulmonary tuberculosis past two years now it is in and it there is no change in my i ray report they show constant figure my sputum report is negative hiv test also negative in ultra sound show some flu water but it shows constant what shall i do for clear the remaining flu i, what are the treatments for lung fluid retention after two years of anti tuberculosis treatment 
73,73,psoriasis for past years i had psoriasis on my scalp for nearly years please give suggestions and medications,what are the treatments for psoriasis 
74,74,problem of polyurea respected medical team medlineplus i am a pharmacist by and here i want to get some informations suggestions regarding the above mentioned the case history is that a female i patient of years old is suffering in poly urea condition she is not a patient of diabetes she facing a problem of excessive urine at night to get up no change in the color chang blood in urine burning fever pain not taking any diuretics altough she is a hypertensive patient give me some suggestions to treat such case test regards,what are the tests and treatments for polyuria 
75,75,feeling pain dear all last week i i operation of hammorho e and day by day i am getting worse i mean not feeling well although my anus is outs e and not going in so kindly requesting you to furnish me the good ea in order to prevent my pain thanks,what are the treatments for pain after hemorrhoidectomy 
76,76,dear sir madam i i from i i years old i i like to ask you a medical question as i ve got an optic nerve atrophy in my eye and i lost my vision since i was years old now i ve got one eye just so please is there treatment for optic nerve atrophy please see the attachment which is a medical report from best wishes,what are the treatments for optic nerve atrophy 
77,77,muscle function loss of left arm dear doctor i am from first of all thank you very much for this article and its a great service i am writing this email for my loving father he lost his left arm muscle because of nerve dam but he can access his finger he cannot lift his hand without help of right hand we already get consults from many doctors but there is no result found we are from vill and poor family background i don i have much money to give good treatment for my father so i request you please recommend a proper treatment for my father this is my kind request to save my father for more details required please feel free to me my email my number with lot i of expectations,what are the treatments for nerve damage in the arm 
78,78,growth on the neck can drug remove growth on the neck and in how many months,what are the treatments for neck lumps or neck tumors 
79,79,hello about years ago i was poisoned and i i i i know what it was that was fed to me until a month ago it was mercury and i i losing my vision among other illnesses and don i know where to turn for help,what are the treatments for mercury poisoning 
80,80,male with breast i am a year old male and i have enlarged breast my mother told me that i have bird chest i know that i don i have bird chest my size is a i i have to wear oversized shirts i would like to have them removed but i don i have the money i was abused because of my breast thank you for your time,what are the treatments for gynecomastia 
81,81,abscess in lungs is abscess in lungs curable my dad has surgery and found abscess in his lungs after a week out of surgery room he developed flu the doctor is telling us they can use the syringe to remove the flu nothing else can be done there is a small bottle attached to his surgical area which is collecting lieu from infection thank you for your reply my dad is yo,what are the treatments for lung abscess 
82,82,my hel reports shows i need your further suggestion i am years male man my hel reports shows i need your further suggestion i seems very low what i have to do its optimise please,what are the treatments for low hdl cholesterol 
83,83,i need help i have been suffering from loose of appetite for some times now and i have done much to help the situation but no any improvement thefire i am pleading with you to kindly help me with this problem if there is a medicine that can cure me please i et me know me through or thank you,what are the treatments for loss of appetite 
84,84,i have been suffering from lichen plans since last four years some time it reduces the red sign and sometime it increases and i cannot take spicy food or hot food could you please suggest the remedies i had consulted the dermatologist also he gave me some ointment i as clone taxon for applying towards the read area awaiting your valuable advise i this behalf with kind regards sent from my ipad,what are the treatments for lichen planus 
85,85,muscle soreness not sure if i need to see my doctor hope you can advise one way or the other male good health eat well and exercise regularly i have muscle soreness in my legs i would associate with overuse however the soreness started approximately weeks ago after over using quads thighs while snow skiing and continues today takes a few minutes to get out of a chair or get out of bed but i continue to exercise as always pilates snow skiing bike i ing long walks in hilly country etc not debilitating but annoying stopped taking statins about a week ago but soreness continues unusual for me any thoughts,do i need to see a doctor for persistent exercise related leg muscle pain 
86,86,edema i have edema in my ankles shins what can i do to lesson the severity of the edema i take be meds i diabetic,what are the treatments for leg edema 
87,87,severe leg cramps with lupus my wife has systemic lupus and is already taking potassium color e meg er ad and about ounces of gator every day but still gets severe leg cramps what can she do to stop or help stop the cramps,what are the treatments for leg cramps aside from potassium chloride and gatoraid 
88,88,enquiry i have stone in my ureter so can i eat eat and what should i do for remove stone,what are the treatments for kidney stones 
89,89,ball and socket joint sir with due respect i would like to state that there is a pain in my ball and socket joint i i i i feel and pain in normal or lower position as i up my hard there is a huge site of pain in my ball and socket joint please prescribe a medicine for the cure,what are the treatments for joint pain 
90,90,medicine for itching my face is itching too much and iam using dettol soap but not feeling well is there any medicine,what are the treatments for itchy skin 
91,91,clinicaltrials gov question general information my fathers and has severe hearing loss he has tried hearing a i which at first helped but loss has become worst has loss the hearing on one ear hearing a i seem to cause him lots of pain i now see that he now can i hear and is becoming isolated which concerns me and makes me very sad and afra he all become very depress and not care if you can i help us can you please direct me somewhere for help we live in the los angeles area thank you,what are the treatments for hearing loss aside for hearing aids 
92,92,hair loss information required can you prov e something to help grow my hair back i need my hair back as im the spitting double of do evil with no hair,what are the treatments for hair loss 
93,93,glossopharyngeal neuralgia how long would i take the medication what is the success rate of surgery can you tell me how much radiation method work and where is the treatment available in,what are the treatments and their success rates for glossopharyngeal neuralgia 
94,94,clinicaltrials gov general complaint dear sir madam i am a patient suffering from friedrich i ataxia and i heard there was a medicine for it in and since we are looking for the medicine kindly help on this and i have dna report could you please help us on this as there are two people respective years and years suffering from it looking for your help on this asap and please let us know when the medicine will be there in market and attaching two files for your reference,what are the treatments for friedreich s ataxia 
95,95,to anyone what can one do if they have no feeling in there feet,what are the treatment for sensory loss in legs 
96,96,dialyzed feedback sir help me overcome incessant flatulence i am suffering from the above for a year now please help me have medical solutions thank you,what are the treatments for flatulance 
97,97,fibrodysplasia ossificans progressive i just received a new patient at the of years old with the diagnosis fibrodysplasia ossificans progressive she has spent the last several months in and has come back to this country for financial reasons i am one of two pediatricians in the county and the closest pediatric specialist are between to hours away i would like the specialists that are recommended for the condition and if ot or it is helpful for the patient,what are the treatments for fibrodysplasia ossificans progressiva and how can i find physician s or hospital s who specialize in it 
98,98,eye i do see black things what couse it or like a sand i my eye how can i get treatment,what are the causes and treatments for eye floaters 
99,99,solve the erection problem sir some time my penis erect and some time it does not work so please help me my contact number is,what are the treatments for erectile dysfunction 
100,100,erection problem i have erection problem iam years old i get erection it looses when i go for intercourse pal suggest me medicine,what are the treatments for erectile dysfunction 
101,101,duchannes my is from morocco i am years old i have muscular dystrophy disease category duchannes are there any effective treatment for this disease,what are the treatments for duchenne muscular dystrophy 
102,102,clinicaltrials gov question general information sir madam i read details of my problem from internet that i why i am going to have in touch with your site i am having a problem in walking and can not put my feet properly for walking my left leg finger i layed first on floor i just having this problem from last five years just because i had with an acc ent and i got a injury in head also i even had physiotherapy for all around three years but still i am facing this problem please help me,what are the treatments for difficulty in walking after head injury 
103,103,short height of my daughter my daughter is years old and her height is am and weight is keg i want to consult about her growth overall can you suggest some medicine or anything else,what are the treatments for delayed growth 
104,104,my mom old suffering from cryptococcal menimgtisneef an assistance i am desperate looking for a strong medicine that can help mom she is suffering from cryptococcal meningitis she is years old,what are the treatments for cryptococcal meningitis 
105,105,blood in cough before some time i vomit and blood came in cough with vomit what to do it happens times when i ask to doc reply that its throat infection please advice home remedy for this,what are the treatments for coughing up blood 
106,106,cera ducal por effects de la radio tarapia what should i do if i have a cold sore and treatments i use,what are the treatments for cold sore 
107,107,please can chronic mydlo leukemia cal be cure completely waiting for your response thanks,what are the treatments for chronic myeloid leukemia 
108,108,may i can find a cure for my case in therapeutic your center that i have an infection chronic granulomatous mastitis take and how much the treatment period please advise me of the post by you to this my email note that i have all the medical reports and tests for this disease this case of my wife and can be send your comment by below e mail,what are the treatments for chronic granulomatous mastitis 
109,109,carbon mono e once you are exposed to carbon mono e and the source of the leak is found and resolved i e source is furnace and shut off by the gas company and the air is clear is it still necessary to have the oxygen treatments and or blood tests or do the levels in your body go back to normal afterwards i understand that there could be long term effects based on the term of the exposure but if you do not lose consciousness are the treatments still necessary should someone still have oxygen treatment blood work it scans heart lung scans if the problem has been resolved and air is clear it has been over hours since the exposure,when are the tests and treatments for carbon monoxide exposure necessary 
110,110,dear sir i feel weak on my body especially in the morning so i want to know the solution to my problem because this is long time ago in the body joints knees and arm thanks,what are the treatments for body weakness 
111,111,my yrs old boy found my bleach at the laundry and i suspect he swallowed a bit of it how do i treat this plus,what are the treatments for bleach poisoning 
112,112,bipolar and generalized anxiety disorder i read about tis therapy do you know anything about it has it had success also wondering about ect finally i ve been told acupuncture can help for mood disorders is that true for mixed bipolar and generalized anxiety disorder along with meds have you ever heard of this,what are the treatments for bipolar disorder with generalized anxiety disorder 
113,113,clinicaltrials gov question specific study i i wondering what over the counter medications i can take for autoimmune nerve disorder so please help me out i i really appreciate it thank you,what are the treatments for autoimmune nerve disorder 
114,114,anxiety how does one deal with anxiety and the looming feeling that i am about to have a heart attack i am taking clonazepam which helps but i would rather go back to the person i used to be without this condition how can i re train my brain into not thinking a heart attach is about to hit me,what are the non drug treatments for anxiety 
115,115,dear sir my is from india actually sir my sister is year old according to doctor she is a anemia parent loss of blood ply sir any drug for anti anemia plzzzzzzzzzzzz sir,what are the treatments for anemia 
116,116,clinicaltrials gov question general information hello my dad years old has gastritis it i ache occasionally over the last several years the other day he went to hospital to have medical check up with endoscopic ultrasonography and found gist with about am in size doctor told him that he may cons er surgery or not it is up to him what are we supposed to do will it develop to bad condition any suggestions i i looking forward to your early reply thank you so much best regards,what are the treatments and prognosis for a small gist 
117,117,aml cancer for one and half year old girl hi one and half year girl found aml cancer with test and she is under chemotherapy in please let me know second opinion how it would be in future my mobile no,what are the treatments and prognosis for a child with aml 
118,118,can a year old get throat cancer i have drank a lot of alcohol and lots of drugs not very many fruits and vegetables this year i have gotten strep throat twice and sore throats with ear aches antibiotics have taken different kinds this year alone raspy voice very painful when swallowing,what are the risk factors and symptoms of throat cancer 
119,119,okay so for about a year or two i ve had chronic depression insomnia migraines mistaking stomache problems as something worse and having issues focusing on many of things at first i thought i had add because ive never been tested for it and because im young and dumb i took pills of aero because i was having very bad issues focusing it worked and i was able to focus way better but seeing all of these symptoms makes me think its not add i i only years old and i ve just started getting tired of going through this every day of my life so based on on all of this information i ve prov ed you do you believe that i may have gad and should talk fo my doctor or does it sound like something different,what are the symptoms of generalized anxiety disorder and when should i contact my doctor to discuss my symptoms 
120,120,radiation therapy i have foot drop symptoms i think radiation cause them last year my left foot is numb tingling and inflaming please help and call my cell phone for more comments,what are the symptoms of foot drop and what are the treatments for it 
121,121,clinicaltrials gov question general information i am from canada was injured in august at work some neurologists that i have seen have suggested that i might have complex regional pain syndrome but due to my hand snarling they dismiss it i have not been diagnosed so i am trying to find a diagnosis so my arm could be repaired any suggestions would be very welcome thank you,what are the symptoms of complex regional pain syndrome 
122,122,i effects from tecfedera hello my is i started taking tecfedera sometime in april as prescribed started with the dose and immediately had the flushing swelling of my lips and nose i called my do he sa it i not uncommon take an aspirin with every dose i i and it seemed to lessen i started the full dose everyday i took the pill my pain increased after a few weeks the pain i usually had in flair ups had now multiplied to an intolerable level i stopped the tecfedra unfortunately the pain i not until today my pain level is at it maximum nothing i ve taken such as percocet oxycodone etc will not relieve it i ve also since developed frequent sweating and cellulitis on my left thigh and abdomen has anyone else had these problems please if so tell me what they i to stop them sincerely cell,what are the side effects of tecfidera 
123,123,methadone causing cold my daughter sa there was a study done and it concluded that methadone can cause cold do you know if there is any truth to this and if so where can i get info on it thank you,what are the side effects of methadone 
124,124,letrozole is there information available from women who have or are using it i i like to know what their reactions to the drug are thank you for your help,what are the side effects of letrozole 
125,125,hydrocortisone for years and counting there are serious i e effects to hydrocortisone and i have to take it because of panhypopituitarism are there any more tolerable replacements thank you,what treatments are available for panhypopituitarism aside from hydrocortisone 
126,126,about glucosamine sulphate will glucosamine sulphate affect i ney will it increase the potassium content in a person,what are the side effects of glucosamine sulphate 
127,127,clinicaltrials gov question general information can you please tell me the results of any clinical trials investigating a correlation between buproprion wellbutrin and cancer is there a greater inc ence of cancer rates with patients who have taken buproprion long term as opposed to a control group,what are the side effects of bupropion including an increased risk of cancer 
128,128,bedlam this peptic e was used to get i of bed bugs where i live it was sprayed in areas i had to sleep in sleep sofa i wasn i told about it and slept through applications over a week period i have one lung and severe cold should this have been used knowing about my respiratory issues,what are the side effects of bedlam insecticide 
129,129,gout and blood pressure i have had many gout attacks since i have been years old now i take allopurinol and blood pressure meds before i took allopurinol i never had high blood pressure also i have developed basal cell skin cancer i have heard allopurinol will cause that reduces ac in your system,what are the side effects of allopurinol 
